text,target
Online shop URL:https://www.allaccessorybest.com; Domain length:24; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:27; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct 11 03:53:36 2023 GMT; Domain registration date:2023-05-15 03:35,fraudulent
Online shop URL:https://www.gearknifeshop.com; Domain length:21; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:24; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct 10 05:04:47 2023 GMT; Domain registration date:2023-07-12 00:00,fraudulent
Online shop URL:https://dakonda.com/en; Domain length:11; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:17; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 20 15:16:50 2023 GMT; Domain registration date:2009-01-30 17:19,legitimate
Online shop URL:https://www.svijet-boca.hr; Domain length:18; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:20; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 27 18:55:17 2023 GMT; Domain registration date:2022-08-15 22:00,legitimate
Online shop URL:https://nangroupholdings.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:24; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct  8 16:34:23 2023 GMT; Domain registration date:2023-03-15 00:00,fraudulent
Online shop URL:https://www.fashionclothingde.com; Domain length:25; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:28; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Sep 18 01:35:49 2023 GMT; Domain registration date:2023-06-20 02:30,fraudulent
Online shop URL:https://www.dortex.com; Domain length:14; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:17; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 26 04:03:12 2023 GMT; Domain registration date:1999-05-18 23:05,legitimate
Online shop URL:https://www.presentationload.com; Domain length:24; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:27; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:Cloudflare Inc ECC CA-3; SSL certificate expire date:May 11 23:59:59 2024 GMT; Domain registration date:2006-08-03 12:34,legitimate
Online shop URL:https://www.golfseriesof.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:23; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct 18 07:39:55 2023 GMT; Domain registration date:2023-07-20 08:27,fraudulent
Online shop URL:https://www.cutestthings.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:23; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep  2 06:29:12 2023 GMT; Domain registration date:2002-06-26 03:26,legitimate
Online shop URL:https://coloraydecor.com; Domain length:16; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:20; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 20 16:51:19 2023 GMT; Domain registration date:2017-01-26 08:28,legitimate
Online shop URL:https://tractorexpress.co.za; Domain length:20; Top domain length:5; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:23; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 11 03:55:09 2023 GMT; Domain registration date:2023-02-16 00:00,fraudulent
Online shop URL:https://www.bikeoccur.com; Domain length:17; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:20; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Oct 19 05:53:01 2023 GMT; Domain registration date:2023-07-21 00:00,fraudulent
Online shop URL:https://www.thekitchengears.com; Domain length:23; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:26; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Nov  2 00:36:47 2023 GMT; Domain registration date:2023-08-04 01:28,fraudulent
Online shop URL:https://www.genzfshop.com; Domain length:17; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:20; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 25 06:57:53 2023 GMT; Domain registration date:2023-06-23 05:43,fraudulent
Online shop URL:https://nelly.com; Domain length:9; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:13; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:GeoTrust RSA CA 2018; SSL certificate expire date:Jan  8 23:59:59 2024 GMT; Domain registration date:1997-06-25 04:00,legitimate
Online shop URL:https://www.b2bglobalchemicalmerchandise.co.za; Domain length:38; Top domain length:5; Presence of prefix 'www' :yes; Number  of digits:1; Number  of letters:39; Number  of dots (.):3; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct  4 19:43:55 2023 GMT; Domain registration date:2022-10-22 00:00,fraudulent
Online shop URL:https://greenesshoes.com; Domain length:16; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:20; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 19 09:36:35 2023 GMT; Domain registration date:2010-05-02 18:35,legitimate
Online shop URL:https://www.handlebarneu.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:23; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Sep  7 04:59:02 2023 GMT; Domain registration date:2023-04-11 02:42,fraudulent
Online shop URL:https://www.mandmdirect.com; Domain length:19; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GeoTrust RSA CA 2018; SSL certificate expire date:Jul  9 23:59:59 2024 GMT; Domain registration date:2005-07-08 13:05,legitimate
Online shop URL:https://bestgenericpills24.com; Domain length:22; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:2; Number  of letters:24; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 11 11:28:32 2023 GMT; Domain registration date:2022-05-11 08:18,fraudulent
Online shop URL:https://hattshoppen.se; Domain length:14; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:18; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep  5 02:10:38 2023 GMT; Domain registration date:2019-04-28 00:00,legitimate
Online shop URL:https://homefocus.ie; Domain length:12; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:16; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:Cloudflare Inc ECC CA-3; SSL certificate expire date:Apr 24 23:59:59 2024 GMT; Domain registration date:2005-09-25 00:00,legitimate
Online shop URL:https://www.marksandspencer.com; Domain length:23; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:26; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:DigiCert SHA2 Extended Validation Server CA; SSL certificate expire date:May 29 23:59:59 2024 GMT; Domain registration date:1998-03-17 05:00,legitimate
Online shop URL:https://reklamospasaulis.lt; Domain length:19; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:23; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep  5 13:40:16 2023 GMT; Domain registration date:2021-08-27 00:00,legitimate
Online shop URL:https://egarazas.lt; Domain length:11; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:15; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 24 23:49:45 2023 GMT; Domain registration date:2012-11-14 00:00,legitimate
Online shop URL:https://www.formulierengigant.nl; Domain length:24; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:27; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:Sectigo RSA Domain Validation Secure Server CA; SSL certificate expire date:Jul  4 23:59:59 2024 GMT; Domain registration date:2010-01-19 00:00,legitimate
Online shop URL:https://babylachelt.de; Domain length:14; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:18; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct  9 18:18:49 2023 GMT; Domain registration date:Hidden,fraudulent
Online shop URL:https://babyplus.store; Domain length:14; Top domain length:5; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:18; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Sep 25 16:44:19 2023 GMT; Domain registration date:2018-07-17 00:00,legitimate
Online shop URL:https://rickelproductsltd.com; Domain length:21; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:25; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:Sectigo RSA Domain Validation Secure Server CA; SSL certificate expire date:Jul 22 23:59:59 2024 GMT; Domain registration date:2022-05-13 19:17,fraudulent
Online shop URL:https://lavenus.com; Domain length:11; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:15; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 26 02:11:51 2023 GMT; Domain registration date:1997-12-05 05:00,legitimate
Online shop URL:https://onlygenericonline.com; Domain length:21; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:25; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Nov  2 10:47:24 2023 GMT; Domain registration date:2016-12-06 14:31,fraudulent
Online shop URL:https://www.yafvwg.store; Domain length:16; Top domain length:5; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:19; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:Cloudflare Inc ECC CA-3; SSL certificate expire date:Jul 31 23:59:59 2024 GMT; Domain registration date:2023-07-06 00:00,fraudulent
Online shop URL:https://mybrand.shoes/el; Domain length:13; Top domain length:5; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:19; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 21 18:27:10 2023 GMT; Domain registration date:2014-08-04 17:04,legitimate
Online shop URL:https://www.kuoteshome.com; Domain length:18; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:21; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Sep  4 06:41:46 2023 GMT; Domain registration date:2023-06-06 00:00,fraudulent
Online shop URL:https://www.obrienswine.ie; Domain length:18; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:21; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Nov 23 18:44:13 2023 GMT; Domain registration date:2000-06-12 00:00,legitimate
Online shop URL:https://buyhealthandcaremeds.com; Domain length:24; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:28; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct  8 06:19:11 2023 GMT; Domain registration date:2015-02-12 14:48,fraudulent
Online shop URL:https://conteshop.com; Domain length:13; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:17; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 18 20:00:40 2023 GMT; Domain registration date:2013-12-09 08:24,legitimate
Online shop URL:https://www.manualtoolthree.com; Domain length:23; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:26; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 18 00:46:02 2023 GMT; Domain registration date:2023-06-20 01:36,fraudulent
Online shop URL:https://thecoffeeminer.com; Domain length:18; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:22; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 19 19:50:15 2023 GMT; Domain registration date:2021-08-30 11:18,legitimate
Online shop URL:https://www.kimjooguan.com; Domain length:18; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:21; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 20 14:26:29 2023 GMT; Domain registration date:2009-11-12 10:02,legitimate
Online shop URL:https://www.sitebadminton.com; Domain length:21; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:24; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct 19 08:34:25 2023 GMT; Domain registration date:2023-07-21 05:46,fraudulent
Online shop URL:https://www.primexpulse.com; Domain length:19; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 27 14:01:17 2023 GMT; Domain registration date:2023-06-29 00:00,fraudulent
Online shop URL:https://www.xandres.com/be_en; Domain length:15; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:Sectigo RSA Domain Validation Secure Server CA; SSL certificate expire date:Apr 30 23:59:59 2024 GMT; Domain registration date:1998-08-17 04:00,legitimate
Online shop URL:https://www.edgetoolhub.com; Domain length:19; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct  8 05:04:43 2023 GMT; Domain registration date:2023-07-10 00:00,fraudulent
Online shop URL:https://www.currys.ie; Domain length:13; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:16; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:DigiCert Global G2 TLS RSA SHA256 2020 CA1; SSL certificate expire date:Jun 24 23:59:59 2024 GMT; Domain registration date:1999-06-15 00:00,legitimate
Online shop URL:https://www.bivouac-new.com; Domain length:19; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:21; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 24 06:55:04 2023 GMT; Domain registration date:2023-06-26 07:49,fraudulent
Online shop URL:https://www.evanscycles.com; Domain length:19; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GlobalSign RSA OV SSL CA 2018; SSL certificate expire date:May 19 18:58:44 2024 GMT; Domain registration date:1998-11-09 05:00,legitimate
Online shop URL:https://permastik.com; Domain length:13; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:17; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 16 22:42:59 2023 GMT; Domain registration date:2016-09-02 06:57,legitimate
Online shop URL:https://www.feststehendemesserde.com; Domain length:28; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:31; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct 25 08:01:51 2023 GMT; Domain registration date:2023-03-31 02:44,fraudulent
Online shop URL:https://sebhy.online; Domain length:12; Top domain length:6; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:16; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 25 07:28:16 2023 GMT; Domain registration date:2023-07-27 06:57,fraudulent
Online shop URL:https://naturasanat.com/en; Domain length:15; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:21; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 28 08:44:35 2023 GMT; Domain registration date:2003-01-20 02:46,legitimate
Online shop URL:https://darknet-shop.net; Domain length:16; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:21; Number  of dots (.):1; Number  of hyphens (-):1; SSL certificate issuer:E1; SSL certificate expire date:Oct  2 18:29:42 2023 GMT; Domain registration date:2021-09-21 12:03,fraudulent
Online shop URL:https://nobananas.com; Domain length:13; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:17; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct  5 08:20:10 2023 GMT; Domain registration date:1999-12-22 05:19,legitimate
Online shop URL:https://www.theorchard.ie; Domain length:17; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:20; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:Encryption Everywhere G3 TLS ECC P384 SHA384 2023 CA1; SSL certificate expire date:Aug 13 23:59:59 2024 GMT; Domain registration date:2006-10-18 00:00,legitimate
Online shop URL:https://www.thebookishshop.shop; Domain length:23; Top domain length:4; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:26; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Oct  5 12:32:30 2023 GMT; Domain registration date:2023-05-09 11:43,fraudulent
Online shop URL:https://www.bestsellersride.com; Domain length:23; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:26; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep  3 09:21:59 2023 GMT; Domain registration date:2023-04-04 00:00,fraudulent
Online shop URL:https://www.fitathletenation.com; Domain length:24; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:27; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Oct 20 09:41:47 2023 GMT; Domain registration date:2023-05-24 00:00,fraudulent
Online shop URL:https://edelweiss-mode.com; Domain length:18; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:21; Number  of dots (.):1; Number  of hyphens (-):1; SSL certificate issuer:R3; SSL certificate expire date:Sep 30 08:04:55 2023 GMT; Domain registration date:2023-05-03 00:00,fraudulent
Online shop URL:https://eur.vevor.com; Domain length:13; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:16; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:Amazon RSA 2048 M01; SSL certificate expire date:Nov  4 23:59:59 2023 GMT; Domain registration date:2009-12-28 19:35,legitimate
Online shop URL:https://rovana.lt; Domain length:9; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:13; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 17 20:10:40 2023 GMT; Domain registration date:2023-05-19 00:00,legitimate
Online shop URL:https://plus.parts; Domain length:10; Top domain length:5; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:14; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct  8 01:07:24 2023 GMT; Domain registration date:2015-03-11 11:17,legitimate
